REQUESTID,DATETIMEINIT,SOURCE,DESCRIPTION,REQCATEGORY,STATUS,REFERREDTO,DATETIMECLOSED,BEAT,PROBADDRESS,City,State,Ward,Postcode
775004,2017-11-20T09:06:47.000,Phone,Blocked Drains,Blocked Drains,Resolved,,2017-12-12T10:06:42.000,35Y,3239 REVERE AV,Wandsworth,London,Tooting,SW17 7AA
622184,2015-12-10T17:25:38.000,Online Form,City Bldg - Clean / Custodial,Council Building Maintenance,Resolved,,2016-02-09T11:31:57.000,04X,250 FRANK H OGAWA PLZ,Wandsworth,London,Furzedown,SW16 6AC
906532,2019-05-21T10:27:16.000,FixMyStreet,City Bldg - Pest,Council Building Maintenance,In Progress,,,14X,LAKEVIEW LIBRARY,Wandsworth,London,East Putney,SW15 1AA
724944,2017-04-11T15:19:55.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2017-04-13T16:41:22.000,26Y,1119 77TH AV,Wandsworth,London,Queenstown,SW8 4AC
418664,2012-07-24T19:50:22.000,FixMyStreet,Pothole (report from SeeClickFix),Street and Pavement Maintenance,Cancelled by Customer,,,,604 60TH ST,Wandsworth,London,Queenstown,SW8 4AC
658559,2016-06-05T17:56:42.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2016-06-08T16:00:30.000,17Y,710 E 22ND ST,Wandsworth,London,Tooting,SW17 7AB
791737,2018-02-02T20:15:46.000,Online Form,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,31Y,9901 EDES AV,Wandsworth,London,West Putney,SW15 2AF
848180,2018-10-19T20:58:15.000,FixMyStreet,Graffiti - Other/Complex Issue,OTHER,Resolved,,2018-10-24T19:17:54.000,29X,BANCROFT AV & AVENAL AV,Wandsworth,London,Tooting,SW17 8AC
495273,2013-12-18T07:30:42.000,Online Form,City Bldg - Other,Council Building Maintenance,Resolved,,2014-02-11T08:11:41.000,13Z,FIRE STATION 24,Wandsworth,London,Northcote,SW11 6AC
477113,2013-08-23T16:40:30.000,Online Form,City Bldg - Plumbing,Council Building Maintenance,Resolved,,2013-08-27T15:03:52.000,14Y,FIRE STATION 10,Wandsworth,London,West Hill,SW18 1AD
435295,2012-11-26T19:57:28.000,Online Form,Street Lighting Fault,Street Lighting,Resolved,,2012-11-30T07:55:20.000,09X,176 MOSS WAY,Wandsworth,London,Tooting,SW17 8AA
688562,2016-10-15T11:03:41.000,Email,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,13Z,6624 HEARTWOOD DR,Wandsworth,London,Tooting,SW17 7AB
591571,2015-07-10T08:02:26.000,Telephone/Email,Recycling - Missed Pickup,Recycling,Resolved,,2015-07-10T17:43:07.000,13Z,6710 WILTON DR,Wandsworth,London,Southfields,SW19 6AA
475057,2013-08-12T15:29:56.000,Telephone/Email,Recycling Hotline - Miscellaneous,Recycling,Resolved,,2013-08-12T15:30:04.000,,ZZ,Wandsworth,London,Shaftesbury,SW11 2AE
877585,2019-02-16T15:10:10.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Cancelled by Customer,,,,465 BELLEVUE AVE,Wandsworth,London,West Putney,SW15 2AD
415292,2012-06-29T15:09:50.000,Telephone/Email,Street Lighting Fault,Street Lighting,Resolved,,2012-07-05T08:04:29.000,28X,4505 FAIRBAIRN AV,Wandsworth,London,Wandsworth Common,SW17 7AD
397746,2012-02-17T11:22:35.000,Telephone/Email,"City Bldg - Heating, Ventilation, and Cooling",Council Building Maintenance,Resolved,,2012-04-10T15:15:16.000,13Y,FIRE STATION 7,Wandsworth,London,Tooting,SW17 7AA
920557,2019-07-01T15:47:14.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2019-07-08T19:00:49.000,31Y,HALE AVE & DOUGLAS AVE,Wandsworth,London,Northcote,SW11 6AB
806397,2018-04-10T11:56:15.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2018-04-15T12:57:19.000,19X,1244 2ND AV,Wandsworth,London,Graveney,SW17 9AB
906153,2019-05-20T10:13:23.000,Email,Blocked Drains,Blocked Drains,Resolved,,2019-05-21T09:56:45.000,03X,701 ALICE ST,Wandsworth,London,Wandsworth Common,SW12 8AH
572195,2015-03-18T14:56:21.000,Email,Graffiti in a Park,Council Building Maintenance,Resolved,,2015-03-30T15:11:34.000,13Z,MONTCLAIR PARK - RESTROOM,Wandsworth,London,Queenstown,SW8 3AB
754888,2017-08-23T10:40:16.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2017-08-23T21:20:53.000,12Y,CLAREMONT AV & HUDSON ST,Wandsworth,London,Tooting,SW17 7AB
803596,2018-03-27T10:29:12.000,Phone,Caltrans issue,OTHER,Referred to External Agency,Transport for London (TfL),,14X,305 MACARTHUR BLVD,Wandsworth,London,Wandsworth Common,SW17 7AD
616444,2015-11-10T14:20:17.000,FixMyStreet,Oakland Police - Abandoned Auto,OTHER,Referred to External Agency,"OPD ABANDONED AUTOS, PUBLIC",,27Y,SEMINARY AV & HARMON AV,Wandsworth,London,Southfields,SW18 5AA
577008,2015-04-15T15:00:19.000,FixMyStreet,Other (report from SeeClickFix,OTHER,Cancelled by Customer,,,,633-647 BELLEVUE AVENUE,Wandsworth,London,Bedford,SW12 9AE
738244,2017-06-12T08:30:11.000,Phone,Parking - Refund,OTHER,Referred to External Agency,"PARKING, REFUND",,08X,355 HAWTHORNE AV,Wandsworth,London,West Hill,SW15 3AA
799041,2018-03-05T09:20:59.000,Phone,Traffic - Repair Pavement Striping,Traffic Signage Issues,Resolved,,2019-03-19T09:12:29.000,30Y,BANTRY AV & HILLMONT DR,Wandsworth,London,Tooting,SW17 7AB
418478,2012-07-23T19:35:18.000,Online Form,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,31Z,700 106TH AV,Wandsworth,London,West Putney,SW15 2AD
883527,2019-03-05T13:21:51.000,Telephone/Email,Parking - Abandoned Vehicle,Community Safety,Resolved,,2019-03-05T13:22:33.000,23X,3700 ALAMEDA AV,Wandsworth,London,Northcote,SW11 6AA
864818,2019-01-08T14:41:51.000,Telephone Voicemail,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2019-01-10T14:30:06.000,31Y,522 DOUGLAS AVE,Wandsworth,London,Balham,SW12 0AA
620094,2015-12-01T12:23:36.000,Online Form,Park - Lighting,Council Building Maintenance,Resolved,,2015-12-08T09:53:25.000,23X,CARMEN FLORES RECREATION CENTER (AKA SANBORN),Wandsworth,London,Tooting,SW17 7AB
756899,2017-09-01T10:02:38.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-09-02T15:02:45.000,21Y,PRENTISS PL & DAVIS ST,Wandsworth,London,Northcote,SW11 6AB
558616,2015-01-02T08:11:39.000,Phone,Parking - Refund,OTHER,Referred to External Agency,"PARKING, REFUND",,03Y,6TH ST & JEFFERSON ST,Wandsworth,London,Southfields,SW18 5AC
667881,2016-07-13T16:10:03.000,Email,Park - Landscape Maintenance,Parks Maintenance,Cancelled by Customer,,,02Y,MANDELA PARKWAY (PARK),Wandsworth,London,West Hill,SW15 3AB
921025,2019-07-02T17:57:38.000,FixMyStreet,"Graffiti - Advertising (posters, signs, etc.)",Graffiti Removal,Resolved,,2019-07-03T14:56:51.000,30Y,3045 73RD AVE,Wandsworth,London,West Putney,SW15 2AE
819272,2018-06-11T19:46:32.000,FixMyStreet,"Tree - Diseased, Dead, Dying, Leaning, or Split",Tree Maintenance,Work Order Created,,,28X,MAXWELL PARK,Wandsworth,London,East Putney,SW15 2AA
751141,2017-08-07T12:25:42.000,Online Form,Tree - Pruning,Tree Maintenance,UNFUNDED,,,29X,2630 55TH AV,Wandsworth,London,West Putney,SW15 2AF
931880,2019-08-06T09:07:12.000,Email,Recycling - Repair/Replace Cart,Recycling,Resolved,,2019-08-07T10:11:59.000,12Y,6030 CLAREMONT AVE,Wandsworth,London,Balham,SW12 9AC
466600,2013-06-21T12:52:28.000,Online Form,Street Cleaning - Complaints,Environmental Services,Resolved,,2013-06-29T09:16:06.000,18X,2200 E 20TH ST,Wandsworth,London,Graveney,SW17 0AB
377951,2011-08-04T13:51:20.000,Telephone/Email,TE - Traffic Safety (non-emergency),Traffic Management,Resolved,,2011-08-25T15:46:43.000,35X,82ND AV & MACARTHUR BLVD,Wandsworth,London,Wandsworth Town,SW18 3AE
805558,2018-04-05T16:11:40.000,FixMyStreet,Oakland Police - Abandoned Auto,OTHER,Referred to External Agency,"OPD ABANDONED AUTOS, PUBLIC",,27X,2110 47TH AV,Wandsworth,London,Shaftesbury,SW11 2AD
676264,2016-08-18T10:29:34.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2016-08-20T15:48:01.000,27Y,E 16TH ST & 61ST AV,Wandsworth,London,West Putney,SW15 1AD
562339,2015-01-21T09:50:43.000,FixMyStreet,Graffiti on Traffic Sign(s),Traffic Signage Issues,Resolved,,2015-03-24T14:39:16.000,15X,CLEVELAND CASCADE,Wandsworth,London,Wandsworth Common,SW17 7AE
530414,2014-07-22T10:11:58.000,Online Form,City Bldg - Electrical Inside/Outside,Council Building Maintenance,Resolved,,2014-07-25T07:02:24.000,04X,250 FRANK H OGAWA PLZ,Wandsworth,London,Northcote,SW11 6AB
443517,2013-01-23T12:28:25.000,Online Form,Street Lighting Fault,Street Lighting,Resolved,,2013-01-31T08:01:14.000,25X,4430 REINHARDT DRIVE,Wandsworth,London,Northcote,SW11 6AA
877341,2019-02-16T10:00:11.000,FixMyStreet,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2019-05-08T09:03:46.000,,4899 TELEGRAPH AVE,Wandsworth,London,Shaftesbury,SW11 1AB
752676,2017-08-14T09:10:29.000,FixMyStreet,Council Enforcement,OTHER,Referred to External Agency,Council Enforcement,,08X,2314 TELEGRAPH AV,Wandsworth,London,Wandsworth Common,SW17 7AE
736664,2017-06-04T14:03:14.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2017-06-07T16:05:48.000,26Y,81ST AV & INTERNATIONAL BLVD,Wandsworth,London,Tooting,SW17 7AA
434687,2012-11-20T09:35:06.000,Telephone/Email,Blocked Drains,Blocked Drains,Resolved,,2012-11-26T11:38:32.000,21Y,34TH AV & ORCHID ST,Wandsworth,London,Roehampton and Putney Heath,SW15 4AB
535675,2014-08-18T15:36:53.000,Phone,Litter - Green Bag Pickup,Fly-Tipping,Resolved,,2014-08-19T17:09:10.000,17X,5TH AV & E 20TH ST,Wandsworth,London,West Putney,SW15 1AD
849860,2018-10-28T16:45:50.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2018-10-29T20:34:34.000,20X,2621 FOOTHILL BLVD,Wandsworth,London,West Hill,SW18 1AD
552961,2014-12-01T09:13:46.000,Phone,Fly-Tipping,Fly-Tipping,Resolved,,2014-12-02T17:12:15.000,02X,MARKET ST & 10TH ST,Wandsworth,London,East Putney,SW15 2AB
631116,2016-01-28T09:44:15.000,Phone,Traffic - Repair Pavement Striping,Traffic Signage Issues,Resolved,,2016-03-09T13:08:31.000,27Y,E 17TH ST & 64TH AVE,Wandsworth,London,Queenstown,SW8 4AC
330925,2010-03-09T08:52:27.000,Telephone/Email,Electrical Curb Box - Damaged/Missing,Street Lighting,Resolved,,2011-06-15T15:10:38.000,03Y,11TH ST & CASTRO ST,Wandsworth,London,Wandsworth Common,SW17 7AD
962513,2019-11-15T12:34:49.000,Other,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2019-11-18T19:29:36.000,30Y,7878 MACARTHUR BLVD,Wandsworth,London,Nightingale,SW12 9AF
846630,2018-10-12T17:45:02.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2018-10-15T20:22:39.000,21Y,2728 FRUITVALE AVE,Wandsworth,London,St Mary's Park,SW11 4AA
455621,2013-04-15T15:50:57.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2013-04-19T16:26:43.000,19X,SOLANO WY & 20TH AV,Wandsworth,London,Northcote,SW11 5AB
551791,2014-11-20T15:18:49.000,Phone,Streets - Potholes/Depression,Street and Pavement Maintenance,Resolved,,2015-02-06T12:48:46.000,22X,RHODA AV & MONTANA ST,Wandsworth,London,Bedford,SW12 9AD
363693,2011-03-15T14:37:01.000,Telephone/Email,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2011-03-16T16:47:21.000,09X,3504 RICHMOND BL,Wandsworth,London,Southfields,SW19 6AA
928301,2019-07-25T14:19:50.000,Phone,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2019-07-26T17:55:26.000,23X,4015 INTERNATIONAL BLVD,Wandsworth,London,Graveney,SW17 0AC
342891,2010-07-22T14:55:48.000,Telephone/Email,Electrical - Inside/Outside Facility,Council Building Maintenance,Resolved,,2010-08-31T13:57:44.000,,7101 EDGEWATER DR BLDG 3 (PWA),Wandsworth,London,Northcote,SW11 6AC
25388,2011-07-11T14:07:51.000,Telephone/Email,Residential Recycling Service Issues,Recycling,Resolved,,2011-07-11T14:07:54.000,,ZZ,Wandsworth,London,East Putney,SW15 1AB
371722,2011-06-01T11:41:07.000,Telephone/Email,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2011-06-02T14:52:00.000,21Y,3300 MAPLE AV,Wandsworth,London,Southfields,SW18 5AA
471269,2013-07-21T16:46:47.000,FixMyStreet,Illegal Dumping � mattress/boxspring,Fly-Tipping,Resolved,,2013-07-31T13:29:17.000,31X,OAKPORT ST & ZHONE WY,Wandsworth,London,West Hill,SW15 3AB
425336,2012-09-12T15:58:29.000,Telephone/Email,Litter - In Public Right of Way,Fly-Tipping,Resolved,,2012-09-19T14:01:35.000,26X,600 50TH AV,Wandsworth,London,Shaftesbury,SW11 1AB
310078,2009-07-13T15:10:41.000,Telephone/Email,Fly-Tipping,Fly-Tipping,Resolved,,2009-08-06T16:09:47.000,17Y,2526 11 TH AVE.,Wandsworth,London,Tooting,SW17 8AA
872921,2019-01-30T14:06:48.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2019-01-31T21:52:21.000,03X,395 9TH ST,Wandsworth,London,West Putney,SW15 1AC
924091,2019-07-12T14:46:55.000,Phone,Tree - Limb Down,Tree Maintenance,Resolved,,2019-07-16T14:30:53.000,12Y,61ST ST & COLBY ST,Wandsworth,London,Nightingale,SW12 8AE
930396,2019-08-01T09:50:33.000,Phone,Tree - Limb Down,Tree Maintenance,Resolved,,2019-08-02T09:46:48.000,12Y,5901 ROSS ST,Wandsworth,London,East Putney,SW15 2AB
495181,2013-12-17T12:07:50.000,Email,TE - Traffic Signal Request (non-emergency),Right of Way Inspectors,Resolved,,2019-06-21T15:34:59.000,12Y,COLLEGE AV & MANILA AV,Wandsworth,London,Tooting,SW17 7AA
437136,2012-12-07T08:54:25.000,FixMyStreet,Electrical - Street Light (report from SeeClickFix,Street Lighting,Resolved,,2012-12-18T07:33:59.000,23X,1501 37TH AV,Wandsworth,London,Roehampton and Putney Heath,SW15 4AB
808432,2018-04-19T10:57:59.000,FixMyStreet,Fly-Tipping,Fly-Tipping,Resolved,,2018-04-21T05:44:18.000,35X,8601 MACARTHUR BLVD,Wandsworth,London,West Putney,SW15 2AD
386409,2011-10-25T07:49:57.000,Telephone/Email,Tree - Request for Removal,Tree Maintenance,Resolved,,2012-09-19T07:58:29.000,,1321 LEIMERT,Wandsworth,London,Bedford,SW12 9AE
954042,2019-10-17T09:54:45.000,Email,Animal and Insect Control,OTHER,Referred to External Agency,"ALAMEDA COUNTY MOSQUITO ABATE,",,03X,310 7TH ST,Wandsworth,London,Shaftesbury,SW11 1AB
326287,2010-01-20T09:55:57.000,Telephone/Email,Storm Drains - Clogged / Flooding,Blocked Drains,Resolved,,2010-01-20T18:02:52.000,12X,SHAFTER AV & 43RD ST,Wandsworth,London,East Putney,SW15 2AC
